Price,sqft,beds,bath,age,stories,vacant,sqrt_Price,tr2_Price,sqrt_sqft,p_Price,r_Price
163,2727,5,3,8,2,0,12.76714534,5.462555571,52.22068556,165.3656183,-2.365618281
88,1069,3,2,5,1,0,9.38083152,4.447960181,32.69556545,71.2655195,16.7344805
165,2846,4,3,56,2,0,12.84523258,5.484806552,53.34791467,151.449486,13.55051403
150,1790,4,3,36,2,0,12.24744871,5.313292846,42.3083916,119.4040266,30.59597339
159.95,2200,4,2,28,1,0,12.64713406,5.428269671,46.9041576,141.9843791,17.96562091
110,1122,2,1,60,1,0,10.48808848,4.791419857,33.49626845,83.20932462,26.79067538
157,2700,4,3,68,2,0,12.52996409,5.394690712,51.96152423,129.8465988,27.15340117
160.5,2581,3,2,85,2,0,12.66885946,5.434484389,50.80354318,143.7139061,16.78609395
220,2048,3,2,17,1,0,14.83239697,6.036810737,45.254834,154.3386609,65.66133906
88,1458,3,2,17,1,0,9.38083152,4.447960181,38.18376618,106.0625605,-18.06256049
125,1712,3,2,10,1,0,11.18033989,5,41.37632173,130.3287728,-5.32877282
85.5,1059,3,2,14,1,0,9.246621005,4.405434058,32.54228019,72.63818636,12.86181364
99.95,1197,3,1,48,1,0,9.997499687,4.640815107,34.59768778,84.63206857,15.31793143
91,1600,2,2,29,1,0,9.539392014,4.497941445,40,139.3385822,-48.33858223
94.5,1254,3,1,42,1,0,9.721111048,4.554883458,35.41186242,85.07443408,9.425565916
94,1224,3,1,40,1,0,9.695359715,4.546835944,34.98571137,83.38690725,10.61309275
125,1806,3,2,8,1,0,11.18033989,5,42.49705872,139.9953616,-14.9953616
225,1614,3,2,14,1,0,15,6.082201996,40.17461885,119.9792052,105.0207948
116.5,1800,4,2,17,1,0,10.79351657,4.8839961,42.42640687,123.7289274,-7.228927395
173,1756,3,2,12,1,0,13.15294644,5.572054656,41.90465368,133.1887486,39.8112514
86,1500,3,2,69,1,0,9.273618496,4.414004962,38.72983346,96.3962077,-10.3962077
95,1840,4,2,15,1,0,9.746794345,4.562902635,42.89522118,128.1439158,-33.14391583
69,921,2,1,44,1,0,8.306623863,4.10156593,30.34798181,74.17447296,-5.174472957
113,2858,4,2,69,2,0,10.63014581,4.834588127,53.46026562,162.7607019,-49.76070185
78,1284,3,2,22,1,0,8.831760866,4.272658682,35.83294573,91.81638664,-13.81638664
205,2666,3,3,15,1,0,14.31782106,5.89636854,51.63332257,232.6805185,-27.68051851
105,1530,2,2,52,1,0,10.24695077,4.71769398,39.11521443,107.5950696,-2.595069576
115,1514,4,2,12,1,0,10.7238053,4.862944131,38.91015292,103.5389524,11.46104756
164,2450,4,3,6,2,0,12.80624848,5.473703675,49.49747468,190.6775956,-26.67759562
148.5,2263,4,3,17,1,0,12.18605761,5.295522503,47.57099957,181.8727229,-33.37272292
100,1158,3,1,47,1,0,10,4.641588834,34.02939905,83.05351277,16.94648723
96.5,980,2,1,50,1,0,9.823441352,4.586792613,31.30495169,77.31016334,19.18983666
175,1989,3,3,32,1,0,13.22875656,5.59344471,44.59820624,178.6716208,-3.671620783
159,2440,4,3,5,2,0,12.60952021,5.417501515,49.39635614,190.796182,-31.79618198
79,1321,3,2,11,1,0,8.888194417,4.290840427,36.34556369,95.12043214,-16.12043214
169.5,2315,3,2,42,1,0,13.01921657,5.534221886,48.1144469,146.2835126,23.21648744
216,2221,3,3,13,1,0,14.69693846,6,47.12748667,207.7928981,8.207101927
147,2356,4,3,4,2,0,12.12435565,5.277632088,48.5386444,183.7591449,-36.75914485
122,1750,3,2,14,1,0,11.04536102,4.959675664,41.83300133,131.5798873,-9.579887325
65,1392,2,1,80,1,0,8.062257748,4.020725759,37.30951621,84.6622288,-19.6622288
69,1092,2,1,95,1,0,8.306623863,4.10156593,33.04542328,69.19703104,-0.197031037
104,1342,3,2,36,1,0,10.19803903,4.702669375,36.63331817,95.26092031,8.739079691
145,2641,5,3,5,2,0,12.04159458,5.253587873,51.39066063,145.0369308,-0.036930759
86.5,1668,3,2,34,1,0,9.300537619,4.422542711,40.84115571,115.6534976,-29.15349763
114,1698,3,2,15,1,0,10.67707825,4.848807586,41.20679556,126.662987,-12.66298703
181.5,1960,3,3,16,2,0,13.47219359,5.661856741,44.27188724,158.0439097,23.45609028
125.5,1720,3,2,20,1,0,11.20267825,5.006657798,41.47288271,125.9799308,-0.47993076
170,2706,5,3,6,2,0,13.03840481,5.539658257,52.01922722,152.6803262,17.31967379
82,1140,3,2,14,1,0,9.055385138,4.344481486,33.76388603,79.54741614,2.452583857
91,1384,3,2,33,1,0,9.539392014,4.497941445,37.20215048,98.12592447,-7.125924474
92.4,1280,4,2,24,1,0,9.612491873,4.520890523,35.77708764,83.93425505,8.465744952
119,2017,4,2,23,1,0,10.90871212,4.918684735,44.91102315,134.8685541,-15.86855406
72.5,1026,3,1,36,1,0,8.514693183,4.169775458,32.03123476,73.29157932,-0.791579317
275,2402,4,3,8,1,0,16.58312395,6.502957234,49.01020302,200.7241809,74.27581911
143,2678,5,3,7,2,0,11.95826074,5.229321532,51.74939613,158.2312325,-15.23123252
74,1376,3,2,5,1,0,8.602325267,4.198336454,37.09447398,100.6530439,-26.6530439
115,1330,2,1,46,1,0,10.7238053,4.862944131,36.46916506,103.8755935,11.12440655
240,3047,4,3,9,2,0,15.49193339,6.214465012,55.19963768,241.5487598,-1.548759824
260,2242,4,3,5,2,0,16.1245155,6.382504299,47.34976241,171.9414104,88.05858961
119.95,1475,3,2,8,1,0,10.95216874,4.931738995,38.40572874,109.4607436,10.48925637
127,1803,3,2,6,1,0,11.26942767,5.026525695,42.46174749,140.9245699,-13.92456994
103,1519,3,2,19,1,0,10.14889157,4.687548148,38.97435054,110.5058388,-7.505838837
129.95,1479,3,2,9,1,0,11.3995614,5.065147475,38.45776905,109.6020887,20.34791126
220,2426,4,3,3,1,0,14.83239697,6.036810737,49.25444142,208.7954648,11.2045352
127,1708,3,2,34,1,0,11.26942767,5.026525695,41.32795664,118.1387339,8.861266117
73.5,1062,3,1,40,1,0,8.5732141,4.188859364,32.58834147,76.73809489,-3.238094891
208,2940,4,3,21,1,0,14.4222051,5.924992137,54.22176685,209.7429189,-1.74291885
139,1984,4,3,15,2,0,11.78982612,5.180101467,44.5421149,142.062793,-3.062793027
157,2184,3,3,25,1,0,12.52996409,5.394690712,46.73328578,193.5778505,-36.57785052
59.3,954,3,2,12,1,0,7.700649323,3.899583563,30.88689042,62.92075207,-3.620752072
81.5,1040,3,2,4,1,0,9.027735043,4.33563323,32.24903099,68.20861,13.29139
74.95,1110,3,2,13,1,0,8.657366805,4.216225971,33.3166625,76.78864166,-1.838641661
78,1478,3,2,35,1,0,8.831760866,4.272658682,38.44476557,103.6221306,-25.62213056
75,1100,3,1,40,1,0,8.660254038,4.217163327,33.1662479,78.29769285,-3.297692852
460,3582,4,4,2,2,0,21.44761059,7.719442629,59.84981203,426.5344204,33.46557962
60,1196,3,1,35,1,0,7.745966692,3.914867641,34.58323293,80.7611273,-20.7611273
295,3298,5,3,28,2,0,17.17556404,6.656930232,57.42821606,285.6226583,9.377341703
73.5,1366,3,2,22,1,0,8.5732141,4.188859364,36.95943723,98.05099771,-24.55099771
428,3760,4,4,1,2,0,20.68816087,7.536122043,61.31883887,469.1396137,-41.13961374
164,2392,4,2,66,2,0,12.80624848,5.473703675,48.90807704,145.1228763,18.87712372
88,1458,3,2,16,1,0,9.38083152,4.447960181,38.18376618,106.2658872,-18.26588715
185,2175,3,2,11,1,0,13.60147051,5.698019215,46.63689527,170.9337417,14.06625835
77,1154,3,2,15,1,0,8.774964387,4.254320865,33.9705755,80.8904344,-3.890434397
107,1421,3,2,44,1,0,10.34408043,4.747459399,37.69615365,98.70250941,8.29749059
60,1199,2,1,48,1,0,7.745966692,3.914867641,34.62657939,93.31370363,-33.31370363
84,1104,3,1,45,1,0,9.16515139,4.37951914,33.22649545,80.47133278,3.52866722
75,1040,3,2,6,1,0,8.660254038,4.217163327,32.24903099,68.77038857,6.229611432
72,965,2,2,88,1,0,8.485281374,4.160167646,31.06444913,47.70270736,24.29729264
155,1868,4,2,40,1,0,12.4498996,5.371685355,43.22036557,112.3429693,42.65703071
115,1910,4,2,19,1,0,10.7238053,4.862944131,43.70354677,130.5530187,-15.55301871
159,1885,4,2,1,1,0,12.60952021,5.417501515,43.41658669,142.0209212,16.97907877
82,1059,3,2,15,1,0,9.055385138,4.344481486,32.54228019,72.89706583,9.102934168
257.5,2148,4,3,8,1,0,16.04680654,6.361981635,46.34652091,184.756287,72.74371302
67,1248,2,1,71,1,0,8.185352772,4.0615481,35.32704347,84.55745616,-17.55745616
444,4278,6,4,11,1,0,21.07130751,7.628883626,65.4064217,285.6349248,158.3650753
89.25,1146,2,1,40,1,0,9.447221814,4.46892166,33.85262176,92.85932385,-3.609323852
