Intercept,stories 1,stories 2,sqft,bath 1,bath 2,bath 3,bath 4,bath 5,beds 2,beds 3,beds 4,beds 5,beds 6,age,vacant 0,vacant 1,Price,beds,bath,stories,vacant,sqrt_Price,tr2_Price,Predicted_Price,lclm_,uclm_,lcl_,ucl_,r_,cookd_
1,0,1,2727,0,0,1,0,0,0,0,0,1,0,8,1,0,163,5,3,2,0,12.76714534,5.462555571,172.4389851,160.1725406,184.7054296,120.2563502,224.6216201,-9.438985109,0.000678294
1,1,0,1069,0,1,0,0,0,0,1,0,0,0,5,1,0,88,3,2,1,0,9.38083152,4.447960181,83.70396743,77.82851899,89.57941588,32.64436867,134.7635662,4.296032568,2.93584E-05
1,0,1,2846,0,0,1,0,0,0,0,1,0,0,56,1,0,165,4,3,2,0,12.84523258,5.484806552,194.3211787,185.9824516,202.6599059,142.9198548,245.7225027,-29.32117873,0.00283233
1,0,1,1790,0,0,1,0,0,0,0,1,0,0,36,1,0,150,4,3,2,0,12.24744871,5.313292846,115.7754495,107.8901615,123.6607374,64.44573587,167.105163,34.22455055,0.003430386
1,1,0,2200,0,1,0,0,0,0,0,1,0,0,28,1,0,159.95,4,2,1,0,12.64713406,5.428269671,156.2941769,148.8451395,163.7432143,105.0296678,207.558686,3.655823096,3.47449E-05
1,1,0,1122,1,0,0,0,0,1,0,0,0,0,60,1,0,110,2,1,1,0,10.48808848,4.791419857,87.94549602,80.55324932,95.33774272,36.68920819,139.2017839,22.05450398,0.00124445
1,0,1,2700,0,0,1,0,0,0,0,1,0,0,68,1,0,157,4,3,2,0,12.52996409,5.394690712,176.5804795,167.6720399,185.4889192,125.0836638,228.0772952,-19.5804795,0.001452941
1,0,1,2581,0,1,0,0,0,0,1,0,0,0,85,1,0,160.5,3,2,2,0,12.66885946,5.434484389,169.7014875,156.8997913,182.5031837,117.3904451,222.0125299,-9.201487491,0.000709915
1,1,0,2048,0,1,0,0,0,0,1,0,0,0,17,1,0,220,3,2,1,0,14.83239697,6.036810737,159.5710849,153.7180552,165.4241146,108.514061,210.6281088,60.4289151,0.005763371
1,1,0,1458,0,1,0,0,0,0,1,0,0,0,17,1,0,88,3,2,1,0,9.38083152,4.447960181,110.4789855,106.0700485,114.8879225,59.56729275,161.3906782,-22.47898548,0.000447291
1,1,0,1712,0,1,0,0,0,0,1,0,0,0,10,1,0,125,3,2,1,0,11.18033989,5,134.8758331,129.9884108,139.7632554,83.92047395,185.8311923,-9.875833111,0.000106461
1,1,0,1059,0,1,0,0,0,0,1,0,0,0,14,1,0,85.5,3,2,1,0,9.246621005,4.405434058,78.67753435,72.99814804,84.35692067,27.64012494,129.7149438,6.822465648,6.90599E-05
1,1,0,1197,1,0,0,0,0,0,1,0,0,0,48,1,0,99.95,3,1,1,0,9.997499687,4.640815107,85.34751568,78.37244898,92.32258238,34.14972973,136.5453016,14.60248432,0.00048341
1,1,0,1600,0,1,0,0,0,1,0,0,0,0,29,1,0,91,2,2,1,0,9.539392014,4.497941445,131.1328736,122.508172,139.7575752,79.68438275,182.5813644,-40.13287358,0.00569843
1,1,0,1254,1,0,0,0,0,0,1,0,0,0,42,1,0,94.5,3,1,1,0,9.721111048,4.554883458,92.88655412,85.92436385,99.84874439,41.69052084,144.0825874,1.613445878,5.88E-06
1,1,0,1224,1,0,0,0,0,0,1,0,0,0,40,1,0,94,3,1,1,0,9.695359715,4.546835944,91.32242648,84.36445464,98.28039831,40.12696669,142.5178863,2.677573524,1.61708E-05
1,1,0,1806,0,1,0,0,0,0,1,0,0,0,8,1,0,125,3,2,1,0,11.18033989,5,143.629367,138.3576837,148.9010504,92.63571669,194.6230174,-18.62936704,0.000442089
1,1,0,1614,0,1,0,0,0,0,1,0,0,0,14,1,0,225,3,2,1,0,15,6.082201996,124.8573906,120.3373744,129.3774068,73.93595819,175.778823,100.1426094,0.009337369
1,1,0,1800,0,1,0,0,0,0,0,1,0,0,17,1,0,116.5,4,2,1,0,10.79351657,4.8839961,128.137842,121.177481,135.0982031,76.94205747,179.3336266,-11.63784203,0.000305705
1,1,0,1756,0,1,0,0,0,0,1,0,0,0,12,1,0,173,3,2,1,0,13.15294644,5.572054656,137.604858,132.7091311,142.500585,86.64870165,188.5610144,35.39514197,0.00137225
1,1,0,1500,0,1,0,0,0,0,1,0,0,0,69,1,0,86,3,2,1,0,9.273618496,4.414004962,89.73957651,82.35842008,97.12073295,38.48488696,140.9942661,-3.739576512,3.56671E-05
1,1,0,1840,0,1,0,0,0,0,0,1,0,0,15,1,0,95,4,2,1,0,9.746794345,4.562902635,132.3982008,125.388256,139.4081455,81.19565145,183.6007501,-37.39820076,0.003203785
1,1,0,921,1,0,0,0,0,1,0,0,0,0,44,1,0,69,2,1,1,0,8.306623863,4.10156593,78.67754584,71.25816201,86.09692966,27.41733722,129.9377545,-9.677545835,0.000241454
1,0,1,2858,0,1,0,0,0,0,0,1,0,0,69,1,0,113,4,2,2,0,10.63014581,4.834588127,189.4085388,176.8316884,201.9853892,137.1520665,241.6650111,-76.40853881,0.047024847
1,1,0,1284,0,1,0,0,0,0,1,0,0,0,22,1,0,78,3,2,1,0,8.831760866,4.272658682,93.67077449,88.93568321,98.40586578,42.72980061,144.6117484,-15.67077449,0.000251317
1,1,0,2666,0,0,1,0,0,0,1,0,0,0,15,1,0,205,3,3,1,0,14.31782106,5.89636854,211.7776578,200.8144043,222.7409113,159.8858987,263.6694168,-6.777657778,0.000272508
1,1,0,1530,0,1,0,0,0,1,0,0,0,0,52,1,0,105,2,2,1,0,10.24695077,4.71769398,114.589458,105.5943316,123.5845845,63.07757559,166.1013404,-9.589458008,0.000355747
1,1,0,1514,0,1,0,0,0,0,0,1,0,0,12,1,0,115,4,2,1,0,10.7238053,4.862944131,106.6708569,99.31688482,114.0248289,55.42007505,157.9216387,8.32914315,0.000175582
1,0,1,2450,0,0,1,0,0,0,0,1,0,0,6,1,0,164,4,3,2,0,12.80624848,5.473703675,184.6732472,178.0155181,191.3309764,133.5177286,235.8287659,-20.67324724,0.000879725
1,1,0,2263,0,0,1,0,0,0,0,1,0,0,17,1,0,148.5,4,3,1,0,12.18605761,5.295522503,166.5152571,157.3222328,175.7082815,114.968449,218.0620653,-18.01525714,0.001315201
1,1,0,1158,1,0,0,0,0,0,1,0,0,0,47,1,0,100,3,1,1,0,10,4.641588834,82.5684851,75.59871031,89.53825989,31.37141984,133.7655504,17.4315149,0.000687776
1,1,0,980,1,0,0,0,0,1,0,0,0,0,50,1,0,96.5,2,1,1,0,9.823441352,4.586792613,80.79051338,73.45224401,88.12878275,29.54198239,132.0390444,15.70948662,0.000621824
1,1,0,1989,0,0,1,0,0,0,1,0,0,0,32,1,0,175,3,3,1,0,13.22875656,5.59344471,147.5238671,137.1902288,157.8575054,95.76146941,199.2862647,27.47613293,0.003935706
1,0,1,2440,0,0,1,0,0,0,0,1,0,0,5,1,0,159,4,3,2,0,12.60952021,5.417501515,184.3072182,177.6225056,190.9919308,133.1481807,235.4662556,-25.30721816,0.001329399
1,1,0,1321,0,1,0,0,0,0,1,0,0,0,11,1,0,79,3,2,1,0,8.888194417,4.290840427,101.875876,97.05925232,106.6924996,50.92725878,152.8244932,-22.87587597,0.000554486
1,1,0,2315,0,1,0,0,0,0,1,0,0,0,42,1,0,169.5,3,2,1,0,13.01921657,5.534221886,170.1363301,162.960419,177.3122412,118.9107951,221.361865,-0.63633007,9.74E-07
1,1,0,2221,0,0,1,0,0,0,1,0,0,0,13,1,0,216,3,3,1,0,14.69693846,6,175.6826466,165.7595217,185.6057716,124.0006368,227.3646565,40.31735336,0.007761783
1,0,1,2356,0,0,1,0,0,0,0,1,0,0,4,1,0,147,4,3,2,0,12.12435565,5.277632088,177.7838749,171.152988,184.4147618,126.6318428,228.9359071,-30.78387491,0.001934393
1,1,0,1750,0,1,0,0,0,0,1,0,0,0,14,1,0,122,3,2,1,0,11.04536102,4.959675664,136.1735355,131.3880345,140.9590365,85.22785122,187.1192199,-14.17353554,0.000210068
1,1,0,1392,1,0,0,0,0,1,0,0,0,0,80,1,0,65,2,1,1,0,8.062257748,4.020725759,101.090564,92.72934787,109.4517802,49.68558697,152.4955411,-36.09056404,0.004315569
1,1,0,1092,1,0,0,0,0,1,0,0,0,0,95,1,0,69,2,1,1,0,8.306623863,4.10156593,69.13787359,59.71465748,78.56108969,17.54951509,120.7262321,-0.137873586,8.12E-08
1,1,0,1342,0,1,0,0,0,0,1,0,0,0,36,1,0,104,3,2,1,0,10.19803903,4.702669375,91.97221189,87.02756586,96.91685792,41.01133224,142.9330916,12.02778811,0.000161703
1,0,1,2641,0,0,1,0,0,0,0,0,1,0,5,1,0,145,5,3,2,0,12.04159458,5.253587873,166.6813088,154.4100756,178.952542,114.4975479,218.8650696,-21.68130876,0.00358195
1,1,0,1668,0,1,0,0,0,0,1,0,0,0,34,1,0,86.5,3,2,1,0,9.300537619,4.422542711,120.0297578,115.5206755,124.5388401,69.10929478,170.9502208,-33.5297578,0.001041622
1,1,0,1698,0,1,0,0,0,0,1,0,0,0,15,1,0,114,3,2,1,0,10.67707825,4.848807586,131.3807338,126.7626895,135.9987782,80.45050642,182.3109613,-17.38073384,0.000293808
1,0,1,1960,0,0,1,0,0,0,1,0,0,0,16,1,0,181.5,3,3,2,0,13.47219359,5.661856741,150.0393584,141.5143929,158.5643238,98.60749307,201.4712237,31.46064164,0.003416587
1,1,0,1720,0,1,0,0,0,0,1,0,0,0,20,1,0,125.5,3,2,1,0,11.20267825,5.006657798,130.8810847,126.3691834,135.392986,79.96037197,181.8017974,-5.381084699,2.68621E-05
1,0,1,2706,0,0,1,0,0,0,0,0,1,0,6,1,0,170,5,3,2,0,13.03840481,5.539658257,171.62372,159.3515463,183.8958937,119.439738,223.807702,-1.623719997,0.000020093
1,1,0,1140,0,1,0,0,0,0,1,0,0,0,14,1,0,82,3,2,1,0,9.055385138,4.344481486,85.41729716,80.09409407,90.74050024,34.41829499,136.4162993,-3.417297155,1.51745E-05
