Price	sqft	beds	bath	age	stories	vacant	sqrt_Price	tr2_Price	sqrt_sqft	p_	lclm_	uclm_	lcl_	ucl_	cookd_	R_
163	2727	5	3	8	2	0	12.76714534	5.462555571	52.22068556	199.8357604	194.0215698	205.6499511	141.1491666	258.5223543	0.007761922	-36.83576044
88	1069	3	2	5	1	0	9.38083152	4.447960181	32.69556545	70.79231514	67.21029379	74.37433649	12.28468864	129.2999416	0.000635	17.20768486
165	2846	4	3	56	2	0	12.84523258	5.484806552	53.34791467	209.0976241	202.7710899	215.4241583	150.358059	267.8371893	0.013219504	-44.09762413
150	1790	4	3	36	2	0	12.24744871	5.313292846	42.3083916	126.9083128	124.283675	129.5329505	68.45148934	185.3651362	0.000611794	23.09168724
159.95	2200	4	2	28	1	0	12.64713406	5.428269671	46.9041576	158.8189356	155.0975468	162.5403243	100.3026112	217.3352599	2.96E-06	1.13106445
110	1122	2	1	60	1	0	10.48808848	4.791419857	33.49626845	74.91734687	71.51078043	78.3239133	16.42020013	133.4144936	0.002385492	35.08265314
157	2700	4	3	68	2	0	12.52996409	5.394690712	51.96152423	197.7343292	192.0350841	203.4335743	139.0590118	256.4096466	0.009113116	-40.73432919
160.5	2581	3	2	85	2	0	12.66885946	5.434484389	50.80354318	188.4724655	183.2728572	193.6720738	129.8435698	247.1013612	0.003565453	-27.9724655
220	2048	3	2	17	1	0	14.83239697	6.036810737	45.254834	146.9886559	143.7646733	150.2126384	88.50185784	205.4754539	0.009247322	73.01134412
88	1458	3	2	17	1	0	9.38083152	4.447960181	38.18376618	101.0684914	98.47130326	103.6656795	42.61289399	159.5240888	0.000191856	-13.06849139
125	1712	3	2	10	1	0	11.18033989	5	41.37632173	120.8375114	118.3050595	123.3699632	62.38475442	179.2902683	1.85021E-05	4.16248864
85.5	1059	3	2	14	1	0	9.246621005	4.405434058	32.54228019	70.01400727	66.3978935	73.63012104	11.50428363	128.5237309	0.000524201	15.48599273
99.95	1197	3	1	48	1	0	9.997499687	4.640815107	34.59768778	80.75465591	77.57919113	83.93012069	22.27051226	139.2387996	0.000619979	19.19534409
91	1600	2	2	29	1	0	9.539392014	4.497941445	40	112.1204632	109.6294519	114.6114745	53.66948698	170.5714394	0.000460828	-21.12046318
94.5	1254	3	1	42	1	0	9.721111048	4.554883458	35.41186242	85.19101079	82.17517186	88.20684971	26.71531698	143.6667046	0.000131444	9.308989215
94	1224	3	1	40	1	0	9.695359715	4.546835944	34.98571137	82.85608717	79.75812362	85.95405071	24.37610034	141.336074	0.000198827	11.14391283
125	1806	3	2	8	1	0	11.18033989	5	42.49705872	128.1536054	125.5041191	130.8030916	69.695661	186.6115497	1.16286E-05	-3.15360536
225	1614	3	2	14	1	0	15	6.082201996	40.17461885	113.2100942	110.7200001	115.7001883	54.75915708	171.6610313	0.01290078	111.7899058
116.5	1800	4	2	17	1	0	10.79351657	4.8839961	42.42640687	127.6866206	125.0466785	130.3265627	69.22910807	186.1441332	0.000145265	-11.18662064
173	1756	3	2	12	1	0	13.15294644	5.572054656	41.90465368	124.262066	121.6836677	126.8404643	65.80730042	182.7168316	0.00262983	48.737934
86	1500	3	2	69	1	0	9.273618496	4.414004962	38.72983346	104.3373845	101.789454	106.8853149	45.88395486	162.7908141	0.000363499	-18.33738445
95	1840	4	2	15	1	0	9.746794345	4.562902635	42.89522118	130.7998521	128.0913155	133.5083888	72.33920167	189.2605026	0.001566394	-35.79985213
